Rank,Console,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,1,2006,1,41.49,29.02,3.77,8.46,82.74
2,2,1985,2,29.08,3.58,6.81,0.77,40.24
3,1,2008,3,15.85,12.88,3.79,3.31,35.82
4,1,2009,1,15.75,11.01,3.28,2.96,33
5,3,1996,4,11.27,8.89,10.22,1,31.37
6,3,1989,5,23.2,2.26,4.22,0.58,30.26
7,4,2006,2,11.38,9.23,6.5,2.9,30.01
8,1,2006,6,14.03,9.2,2.93,2.85,29.02
9,1,2009,2,14.59,7.06,4.7,2.26,28.62
10,2,1984,7,26.93,0.63,0.28,0.47,28.31
11,4,2005,8,9.07,11,1.93,2.75,24.76
12,4,2005,3,9.81,7.57,4.13,1.92,23.42
13,3,1999,4,9,6.18,7.2,0.71,23.1
14,1,2007,1,8.94,8.03,3.6,2.15,22.72
15,1,2009,1,9.09,8.59,2.53,1.79,22
16,5,2010,6,14.97,4.94,0.24,1.67,21.82
17,6,2013,9,7.01,9.27,0.97,4.14,21.4
18,7,2004,9,9.43,0.4,0.41,10.57,20.81
19,8,1990,2,12.78,3.75,3.54,0.55,20.61
20,4,2005,6,4.75,9.26,4.16,2.05,20.22
21,4,2006,4,6.42,4.52,6.04,1.37,18.36
22,3,1989,2,10.83,2.71,4.18,0.42,18.14
23,2,1988,2,9.54,3.44,3.84,0.46,17.28
24,5,2013,9,9.63,5.31,0.06,1.38,16.38
25,7,2002,9,8.41,5.49,0.47,1.78,16.15
26,9,2002,4,6.06,3.9,5.38,0.5,15.85
27,4,2010,4,5.57,3.28,5.65,0.82,15.32
28,4,2005,5,3.44,5.36,5.32,1.18,15.3
29,7,2001,3,6.85,5.09,1.87,1.16,14.98
30,5,2011,7,9.03,4.28,0.13,1.32,14.76
31,3,1998,4,5.89,5.04,3.12,0.59,14.64
32,5,2010,7,9.67,3.73,0.11,1.13,14.64
33,10,2013,4,5.17,4.05,4.34,0.79,14.35
34,11,2015,7,5.77,5.81,0.35,2.31,14.24
35,6,2012,7,4.99,5.88,0.65,2.52,14.03
36,5,2012,7,8.25,4.3,0.07,1.12,13.73
37,5,2009,7,8.52,3.63,0.08,1.29,13.51
38,6,2011,7,5.54,5.82,0.49,1.62,13.46
39,7,2001,9,6.99,4.51,0.3,1.3,13.1
40,1,2008,10,6.75,2.61,2.66,1.02,13.04
41,6,2010,7,5.98,4.44,0.48,1.83,12.73
42,4,2005,8,2.55,3.52,5.33,0.88,12.27
43,10,2011,3,4.74,3.91,2.67,0.89,12.21
44,5,2007,7,7.97,2.83,0.13,1.21,12.14
45,11,2014,9,3.8,5.81,0.36,2.02,11.98
46,4,2009,9,4.4,2.77,3.96,0.77,11.9
47,12,1996,2,6.91,2.85,1.91,0.23,11.89
48,7,2004,3,3.01,0.01,1.1,7.53,11.66
49,1,2007,2,6.16,3.4,1.2,0.76,11.52
50,10,2014,4,4.23,3.37,3.08,0.65,11.33
51,3,1992,11,6.16,2.04,2.69,0.29,11.18
52,5,2008,9,6.76,3.1,0.14,1.03,11.02
53,13,1997,3,4.02,3.87,2.54,0.52,10.95
54,10,2011,2,4.89,2.99,2.13,0.78,10.79
55,6,2010,3,2.96,4.88,0.81,2.12,10.77
56,6,2009,7,4.99,3.69,0.38,1.63,10.69
57,6,2008,9,4.76,3.76,0.44,1.62,10.57
58,8,1993,2,5.99,2.15,2.12,0.29,10.55
59,9,2004,4,4.34,2.65,3.15,0.35,10.49
60,4,2004,2,5.08,3.11,1.25,0.98,10.42
61,1,2011,6,6.05,3.15,0,1.07,10.26
62,5,2013,7,6.72,2.63,0.04,0.82,10.21
63,5,2010,7,7.03,1.98,0.08,0.78,9.88
64,12,1996,3,5.55,1.94,2.23,0.15,9.87
65,10,2012,2,3.66,3.07,2.47,0.63,9.82
66,5,2012,7,6.63,2.36,0.04,0.73,9.76
67,13,1997,4,3.01,2.47,3.28,0.96,9.72
68,6,2013,7,4.09,3.73,0.38,1.38,9.59
69,1,2010,6,5.84,2.89,0.01,0.78,9.52
70,13,1999,3,3.88,3.42,1.69,0.5,9.49
71,5,2007,7,5.91,2.38,0.13,0.9,9.32
72,8,1994,2,4.36,1.71,3,0.23,9.3
73,5,2013,6,5.58,2.83,0.02,0.77,9.2
74,10,2012,8,2.01,2.32,4.36,0.41,9.09
75,4,2007,6,4.46,1.88,1.98,0.7,9.02
76,5,2011,4,5.03,2.86,0.1,0.85,8.84
77,8,1992,3,3.54,1.24,3.81,0.18,8.76
78,11,2015,1,1.11,6.06,0.06,1.26,8.49
79,1,2010,6,1.79,3.53,2.49,0.68,8.49
80,14,2004,7,6.82,1.53,0.05,0.08,8.49
81,1,2007,6,3.81,2.3,1.58,0.73,8.42
82,4,2012,4,2.91,1.86,3.14,0.43,8.33
83,6,2012,9,1.06,5.05,0.13,2.01,8.24
84,15,2009,8,0.98,6.42,0,0.71,8.11
85,12,1997,7,5.8,2.01,0.13,0.15,8.09
86,1,2007,1,2.58,3.9,0.66,0.91,8.06
87,7,2001,4,2.91,2.07,2.73,0.33,8.05
88,13,1999,4,2.28,1.72,3.63,0.23,7.86
89,4,2008,4,2.82,1.78,2.69,0.55,7.84
90,16,1982,5,7.28,0.45,0,0.08,7.81
91,17,2005,9,2.9,2.83,0.24,1.75,7.72
92,1,2010,2,3.66,2.42,0.98,0.64,7.69
93,11,2015,7,2.93,3.29,0.22,1.23,7.67
94,11,2014,7,2.8,3.3,0.14,1.37,7.6
95,12,1998,9,4.1,1.89,1.45,0.16,7.6
96,13,1997,2,3.78,2.17,1.31,0.31,7.58
97,2,1988,2,5.39,1.18,0.7,0.19,7.46
98,10,2014,10,3.24,1.35,2.42,0.43,7.45
99,5,2008,7,4.79,1.9,0,0.69,7.37
100,5,2011,7,4.46,2.13,0.06,0.69,7.34
101,1,2006,9,3.83,2.19,0.6,0.7,7.31
102,18,2015,7,4.52,2.09,0.01,0.67,7.3
103,1,2009,6,3.51,3.03,0,0.73,7.27
104,6,2011,7,2.85,2.93,0.35,1.1,7.23
105,7,2003,3,3.27,2.83,0.08,1.02,7.2
106,13,1998,10,3.27,2.22,1.4,0.29,7.16
